venda_id;data;cliente_id;produto_id;rep_id;regiao;uf;canal;qtd;preco_unit;desconto;receita_bruta;receita_liquida
94;10/02/2024 00:00;160;11;24;Sudeste;RJ;Varejo;21;116,6;0;2448,6;2448,6
95;28/02/2024 00:00;164;33;7;Sul;RS;Distribuidor;6;126,67;0,04;760,02;729,62
96;29/03/2024 00:00;51;52;16;Centro-Oeste;DF;Distribuidor;14;136,7;0,16;1913,8;1607,59
97;24/07/2024 00:00;182;8;21;Sudeste;MG;Varejo;11;116,26;0,14;1278,86;1099,82
98;24/11/2024 00:00;8;51;8;Nordeste;RN;Varejo;14;26,84;0;375,76;375,76
99;09/02/2024 00:00;132;9;23;Nordeste;PE;Varejo;7;137,74;0,12;964,18;848,48
100;23/07/2024 00:00;42;58;1;Sul;SC;Varejo;5;81,23;0,08;406,15;373,66
101;06/02/2024 00:00;183;42;11;Norte;PA;Distribuidor;8;63,27;0,09;506,16;460,61
102;14/08/2024 00:00;118;20;10;Nordeste;MA;Varejo;3;43,2;0,17;129,6;107,57
103;01/04/2024 00:00;169;29;25;Sul;RS;Varejo;5;167,77;0,1;838,85;754,96
104;30/01/2024 00:00;56;1;24;Nordeste;PE;Varejo;3;138,24;0,18;414,72;340,07
105;28/09/2024 00:00;132;40;17;Nordeste;PE;Varejo;14;35,11;0,01;491,54;486,62
106;22/09/2024 00:00;209;57;14;Norte;AP;Varejo;8;77,03;0,09;616,24;560,78
107;31/01/2024 00:00;131;5;9;Norte;AC;Varejo;4;79,4;0,01;317,6;314,42
108;15/12/2024 00:00;205;8;21;Sul;SC;Varejo;6;112,79;0,08;676,74;622,6
109;30/10/2024 00:00;107;29;19;Sudeste;SP;Hospitalar;6;171,71;0,03;1030,26;999,35
110;30/12/2024 00:00;98;34;19;Sudeste;ES;Hospitalar;12;123,11;0,1;1477,32;1329,59
111;09/10/2024 00:00;107;19;2;Sudeste;SP;Hospitalar;4;16,05;0,04;64,2;61,63
112;11/11/2024 00:00;55;5;21;Sul;RS;Varejo;4;81,64;0,04;326,56;313,5
113;31/07/2024 00:00;17;5;9;Centro-Oeste;GO;Varejo;8;82,57;0,09;660,56;601,11
114;06/07/2024 00:00;37;56;4;Norte;TO;Distribuidor;24;127,22;0,1;3053,28;2747,95
115;26/05/2024 00:00;45;44;9;Norte;AP;Distribuidor;19;45,74;0,07;869,06;808,23
116;31/12/2024 00:00;196;27;18;Sul;RS;Hospitalar;8;18,57;0,01;148,56;147,07
117;15/11/2024 00:00;89;44;14;Nordeste;PB;Hospitalar;6;45,64;0,05;273,84;260,15
118;26/09/2024 00:00;207;46;3;Sul;PR;Hospitalar;29;164,41;0;4767,89;4767,89
119;22/11/2024 00:00;177;48;14;Sul;RS;Varejo;6;71,61;0,08;429,66;395,29
120;31/03/2024 00:00;174;36;25;Norte;AM;Varejo;16;27,89;0,13;446,24;388,23
121;20/07/2024 00:00;92;42;3;Centro-Oeste;DF;Varejo;9;76,59;0,05;689,31;654,84
122;30/07/2024 00:00;123;8;13;Sudeste;RJ;Varejo;5;106,96;0,1;534,8;481,32
123;20/07/2024 00:00;106;21;24;Norte;PA;Hospitalar;8;108,1;0,02;864,8;847,5
124;02/04/2024 00:00;164;36;20;Sul;RS;Distribuidor;6;26,86;0,14;161,16;138,6
125;21/01/2024 00:00;16;53;20;Norte;PA;Distribuidor;8;111,29;0,12;890,32;783,48
126;29/03/2024 00:00;86;35;24;Sudeste;MG;Distribuidor;5;54,41;0,1;272,05;244,84
127;13/02/2024 00:00;140;8;12;Sul;RS;Varejo;23;82,96;0,01;1908,08;1889
128;18/09/2024 00:00;163;43;11;Nordeste;CE;Varejo;10;158,99;0,13;1589,9;1383,21
129;06/01/2024 00:00;133;33;10;Nordeste;RN;Varejo;9;102,86;0,09;925,74;842,42
130;17/05/2024 00:00;76;7;3;Nordeste;PE;Varejo;7;59,78;0,09;418,46;380,8
131;08/04/2024 00:00;113;41;10;Centro-Oeste;MT;Varejo;5;124,87;0,08;624,35;574,4
132;16/06/2024 00:00;141;26;14;Nordeste;CE;Hospitalar;6;55,36;0,05;332,16;315,55
133;29/05/2024 00:00;97;29;6;Norte;RO;Varejo;9;166,18;0,11;1495,62;1331,1
134;10/11/2024 00:00;87;18;21;Sul;RS;Varejo;10;103,56;0,09;1035,6;942,4
135;06/01/2024 00:00;36;2;20;Norte;AC;Distribuidor;4;87,45;0;349,8;349,8
136;19/10/2024 00:00;199;30;10;Norte;RO;Varejo;4;140,58;0,19;562,32;455,48
137;02/09/2024 00:00;150;30;12;Sul;PR;Varejo;8;120,69;0,09;965,52;878,62
138;04/12/2024 00:00;188;3;21;Sul;RS;Varejo;12;153,39;0,01;1840,68;1822,27
139;03/09/2024 00:00;118;47;24;Nordeste;MA;Varejo;9;107,78;0,17;970,02;805,12
140;06/09/2024 00:00;180;17;22;Centro-Oeste;DF;Distribuidor;11;115,37;0,06;1269,07;1192,93
141;01/07/2024 00:00;161;30;20;Sul;SC;Varejo;9;133,12;0,08;1198,08;1102,23
142;20/11/2024 00:00;146;32;18;Sul;SC;Varejo;15;107,24;0;1608,6;1608,6
143;17/10/2024 00:00;76;23;17;Nordeste;PE;Varejo;16;51;0,15;816;693,6
144;17/07/2024 00:00;110;54;21;Centro-Oeste;MS;Varejo;5;114,31;0,03;571,55;554,4
145;12/09/2024 00:00;162;51;22;Sudeste;SP;Varejo;4;25,17;0,09;100,68;91,62
146;08/09/2024 00:00;177;16;19;Sul;RS;Varejo;10;58,09;0,07;580,9;540,24
147;21/09/2024 00:00;79;3;11;Sudeste;SP;Varejo;4;162,87;0;651,48;651,48
148;10/01/2024 00:00;52;34;5;Norte;TO;Hospitalar;5;126,76;0,11;633,8;564,08
149;03/02/2024 00:00;151;3;8;Sudeste;SP;Hospitalar;4;142,8;0,17;571,2;474,1
150;20/09/2024 00:00;83;6;25;Sul;RS;Varejo;9;85,92;0,04;773,28;742,35
151;15/10/2024 00:00;163;2;16;Nordeste;CE;Varejo;14;97,08;0,01;1359,12;1345,53
152;24/05/2024 00:00;174;59;12;Norte;AM;Varejo;67;49,19;0,06;3295,73;3097,99
153;12/01/2024 00:00;161;1;14;Sul;SC;Varejo;12;156,75;0,03;1881;1824,57
154;16/02/2024 00:00;203;2;11;Centro-Oeste;MT;Hospitalar;13;93,84;0,1;1219,92;1097,93
155;14/09/2024 00:00;16;46;10;Norte;PA;Distribuidor;18;208,35;0,04;3750,3;3600,29
156;30/01/2024 00:00;17;52;18;Centro-Oeste;GO;Varejo;6;140,17;0,07;841,02;782,15
157;27/06/2024 00:00;97;42;16;Norte;RO;Varejo;5;79,35;0,06;396,75;372,94
158;28/01/2024 00:00;79;58;10;Sudeste;SP;Varejo;24;88,42;0;2122,08;2122,08
159;26/11/2024 00:00;28;33;20;Sudeste;RJ;Varejo;6;113,76;0,08;682,56;627,96
160;15/01/2024 00:00;22;27;21;Centro-Oeste;MT;Varejo;6;19,18;0,17;115,08;95,52
161;26/04/2024 00:00;179;19;21;Centro-Oeste;DF;Varejo;9;14,89;0,13;134,01;116,59
162;08/08/2024 00:00;113;56;13;Centro-Oeste;MT;Varejo;8;128,41;0,07;1027,28;955,37
163;08/10/2024 00:00;42;34;3;Sul;SC;Varejo;14;133;0,1;1862;1675,8
164;02/03/2024 00:00;209;46;12;Norte;AP;Varejo;4;190,56;0,05;762,24;724,13
165;06/08/2024 00:00;162;56;12;Sudeste;SP;Varejo;7;120,16;0,11;841,12;748,6
166;30/05/2024 00:00;153;60;9;Nordeste;MA;Varejo;6;131,35;0,11;788,1;701,41
167;30/09/2024 00:00;100;54;1;Norte;AP;Varejo;7;91,62;0,01;641,34;634,93
168;20/09/2024 00:00;132;23;21;Nordeste;PE;Varejo;10;60,54;0,11;605,4;538,81
169;28/07/2024 00:00;78;2;11;Sudeste;MG;Varejo;8;92,83;0,13;742,64;646,1
170;17/12/2024 00:00;16;35;13;Norte;PA;Distribuidor;24;57,9;0,03;1389,6;1347,91
171;18/04/2024 00:00;71;1;15;Sudeste;MG;Distribuidor;5;136,28;0,08;681,4;626,89
172;28/02/2024 00:00;143;21;6;Sul;RS;Hospitalar;5;131,5;0,07;657,5;611,47
173;20/05/2024 00:00;197;18;13;Sul;SC;Varejo;22;115,92;0,05;2550,24;2422,73
174;10/09/2024 00:00;172;54;19;Centro-Oeste;MT;Hospitalar;10;102,06;0,02;1020,6;1000,19
175;21/08/2024 00:00;154;19;20;Sul;PR;Varejo;13;18,78;0,09;244,14;222,17
176;29/01/2024 00:00;165;42;9;Norte;PA;Varejo;12;75,59;0,07;907,08;843,58
177;09/03/2024 00:00;127;40;7;Centro-Oeste;GO;Distribuidor;12;41,56;0;498,72;498,72
178;21/01/2024 00:00;75;37;20;Nordeste;MA;Hospitalar;11;126,98;0,09;1396,78;1271,07
179;17/11/2024 00:00;132;26;4;Nordeste;PE;Varejo;18;53,8;0,05;968,4;919,98
180;24/09/2024 00:00;149;18;21;Norte;AP;Varejo;12;98,11;0,08;1177,32;1083,13
181;02/09/2024 00:00;56;57;4;Nordeste;PE;Varejo;8;88,82;0,08;710,56;653,72
182;14/11/2024 00:00;7;31;10;Norte;RR;Varejo;11;134,74;0,05;1482,14;1408,03
183;08/09/2024 00:00;17;19;21;Centro-Oeste;GO;Varejo;5;17,16;0;85,8;85,8
184;24/07/2024 00:00;36;2;24;Norte;AC;Distribuidor;12;99,14;0,1;1189,68;1070,71
185;01/05/2024 00:00;41;20;10;Centro-Oeste;MS;Varejo;9;57,44;0,09;516,96;470,43
186;08/10/2024 00:00;3;3;11;Centro-Oeste;DF;Hospitalar;5;149,41;0,01;747,05;739,58
187;05/09/2024 00:00;193;17;3;Sudeste;ES;Varejo;5;102,7;0,1;513,5;462,15
188;28/08/2024 00:00;82;25;21;Sul;PR;Varejo;19;153,14;0,1;2909,66;2618,69
189;04/07/2024 00:00;40;23;1;Nordeste;SE;Distribuidor;4;51,63;0,11;206,52;183,8
190;10/05/2024 00:00;206;28;24;Sul;PR;Varejo;26;66,33;0,14;1724,58;1483,14
191;13/12/2024 00:00;29;27;22;Norte;AC;Hospitalar;2;18,17;0,08;36,34;33,43
192;22/01/2024 00:00;26;60;14;Sul;RS;Hospitalar;9;138,05;0,11;1242,45;1105,78
193;29/09/2024 00:00;169;4;3;Sul;RS;Varejo;16;104,13;0,08;1666,08;1532,79
194;09/06/2024 00:00;126;32;23;Norte;PA;Varejo;10;79,67;0;796,7;796,7
195;25/01/2024 00:00;118;40;11;Nordeste;MA;Varejo;3;38,81;0,04;116,43;111,77
196;26/02/2024 00:00;97;19;4;Norte;RO;Varejo;6;14,29;0,13;85,74;74,59
197;01/10/2024 00:00;56;16;2;Nordeste;PE;Varejo;3;64,44;0,04;193,32;185,59
198;13/03/2024 00:00;135;32;21;Centro-Oeste;MS;Varejo;10;108,02;0,04;1080,2;1036,99
199;30/01/2024 00:00;68;25;23;Norte;AM;Varejo;6;143,46;0,08;860,76;791,9
200;29/01/2024 00:00;150;32;15;Sul;PR;Varejo;7;110,07;0,08;770,49;708,85
201;29/07/2024 00:00;183;26;24;Norte;PA;Distribuidor;3;59,35;0,13;178,05;154,9
202;11/09/2024 00:00;129;7;21;Sudeste;MG;Varejo;9;66,55;0,12;598,95;527,08
203;02/09/2024 00:00;205;52;24;Sul;SC;Varejo;15;122,85;0,14;1842,75;1584,76
204;16/06/2024 00:00;151;21;12;Sudeste;SP;Hospitalar;11;119,08;0,13;1309,88;1139,6
205;09/05/2024 00:00;58;29;7;Sul;RS;Varejo;7;165,88;0,12;1161,16;1021,82
206;13/01/2024 00:00;195;42;23;Sudeste;MG;Hospitalar;4;77,02;0,09;308,08;280,35
207;03/04/2024 00:00;192;18;10;Nordeste;AL;Varejo;4;110,81;0,06;443,24;416,65
208;05/10/2024 00:00;38;22;16;Norte;RR;Varejo;22;171,09;0;3763,98;3763,98
209;29/09/2024 00:00;62;13;16;Norte;AP;Varejo;8;171,31;0,06;1370,48;1288,25
210;13/11/2024 00:00;90;33;1;Centro-Oeste;DF;Varejo;5;112,35;0,1;561,75;505,58
211;08/12/2024 00:00;212;56;21;Sul;SC;Distribuidor;12;128,77;0,07;1545,24;1437,07
212;05/01/2024 00:00;76;24;5;Nordeste;PE;Varejo;12;103,57;0,16;1242,84;1043,99
213;15/03/2024 00:00;171;41;12;Nordeste;MA;Hospitalar;6;101,29;0,07;607,74;565,2
214;03/07/2024 00:00;136;26;16;Sudeste;MG;Varejo;17;50,78;0,18;863,26;707,87
215;15/04/2024 00:00;199;25;11;Norte;RO;Varejo;12;169,04;0;2028,48;2028,48
216;19/04/2024 00:00;60;32;9;Nordeste;CE;Varejo;5;100,6;0,02;503;492,94
217;01/08/2024 00:00;140;32;19;Sul;RS;Varejo;5;116,79;0,14;583,95;502,2
218;21/07/2024 00:00;37;9;9;Norte;TO;Distribuidor;5;138,96;0,03;694,8;673,96
219;06/05/2024 00:00;31;29;8;Centro-Oeste;GO;Hospitalar;11;174,92;0,03;1924,12;1866,4
220;16/09/2024 00:00;60;47;17;Nordeste;CE;Varejo;9;93,45;0;841,05;841,05
221;03/01/2024 00:00;205;52;8;Sul;SC;Varejo;3;130,77;0,07;392,31;364,85
222;04/10/2024 00:00;53;55;4;Nordeste;BA;Varejo;28;86,58;0,1;2424,24;2181,82
223;14/08/2024 00:00;80;20;1;Sudeste;SP;Varejo;7;56,08;0,09;392,56;357,23
224;25/01/2024 00:00;192;3;19;Nordeste;AL;Varejo;6;149,6;0,07;897,6;834,77
225;28/11/2024 00:00;121;27;10;Norte;TO;Varejo;16;18,41;0,03;294,56;285,72
226;20/12/2024 00:00;58;34;11;Sul;RS;Varejo;10;136,32;0,15;1363,2;1158,72
227;08/06/2024 00:00;162;53;16;Sudeste;SP;Varejo;7;99,68;0,12;697,76;614,03
228;06/05/2024 00:00;173;16;14;Sudeste;RJ;Varejo;7;62,15;0,04;435,05;417,65
229;03/11/2024 00:00;44;33;12;Sudeste;SP;Varejo;16;132,84;0,13;2125,44;1849,13
230;13/07/2024 00:00;172;43;15;Centro-Oeste;MT;Hospitalar;9;148,3;0,15;1334,7;1134,5
231;19/10/2024 00:00;185;14;3;Sul;PR;Varejo;2;127,57;0,04;255,14;244,93
232;12/03/2024 00:00;12;35;18;Nordeste;PE;Varejo;11;52;0,1;572;514,8
233;12/10/2024 00:00;105;10;7;Nordeste;MA;Hospitalar;4;138,18;0,06;552,72;519,56
234;02/09/2024 00:00;142;19;9;Sudeste;MG;Varejo;12;16,67;0,04;200,04;192,04
235;20/02/2024 00:00;163;29;5;Nordeste;CE;Varejo;17;203,69;0,02;3462,73;3393,48
236;13/07/2024 00:00;213;23;19;Centro-Oeste;MT;Varejo;47;55,62;0,07;2614,14;2431,15
237;19/09/2024 00:00;3;38;21;Centro-Oeste;DF;Hospitalar;4;169,3;0,05;677,2;643,34
238;11/02/2024 00:00;30;52;23;Centro-Oeste;DF;Varejo;8;134,34;0;1074,72;1074,72
239;13/02/2024 00:00;98;1;4;Sudeste;ES;Hospitalar;9;134,99;0,11;1214,91;1081,27
240;21/11/2024 00:00;198;39;4;Centro-Oeste;DF;Varejo;10;107,57;0,04;1075,7;1032,67
241;04/06/2024 00:00;129;42;20;Sudeste;MG;Varejo;8;81,28;0,14;650,24;559,21
242;31/03/2024 00:00;122;37;19;Sudeste;SP;Varejo;23;143,59;0,09;3302,57;3005,34
243;26/09/2024 00:00;31;12;22;Centro-Oeste;GO;Hospitalar;10;121,14;0,04;1211,4;1162,94
244;17/01/2024 00:00;216;48;7;Nordeste;PI;Varejo;32;69,57;0,12;2226,24;1959,09
245;29/05/2024 00:00;159;8;16;Sul;RS;Hospitalar;4;127,71;0,09;510,84;464,86
246;13/11/2024 00:00;135;48;7;Centro-Oeste;MS;Varejo;12;65,3;0,02;783,6;767,93
247;30/01/2024 00:00;89;37;23;Nordeste;PB;Hospitalar;11;136,99;0,06;1506,89;1416,48
248;08/02/2024 00:00;66;45;22;Centro-Oeste;MS;Hospitalar;9;156,69;0,09;1410,21;1283,29
249;18/04/2024 00:00;218;5;6;Nordeste;CE;Varejo;7;74,43;0,06;521,01;489,75
250;15/09/2024 00:00;71;55;20;Sudeste;MG;Distribuidor;6;89,73;0,1;538,38;484,54
251;31/08/2024 00:00;33;48;2;Sul;SC;Hospitalar;13;78,27;0,04;1017,51;976,81
252;13/04/2024 00:00;181;20;17;Sul;SC;Hospitalar;18;52,62;0,14;947,16;814,56
253;16/09/2024 00:00;46;40;10;Nordeste;PB;Varejo;25;41,07;0,05;1026,75;975,41
254;20/09/2024 00:00;20;11;8;Nordeste;CE;Distribuidor;12;101,64;0,09;1219,68;1109,91
255;04/01/2024 00:00;5;9;21;Sul;SC;Varejo;3;133,25;0,05;399,75;379,76
256;09/07/2024 00:00;127;35;7;Centro-Oeste;GO;Distribuidor;15;58,25;0,05;873,75;830,06
257;24/05/2024 00:00;162;23;3;Sudeste;SP;Varejo;12;67,51;0,1;810,12;729,11
258;09/10/2024 00:00;213;18;18;Centro-Oeste;MT;Varejo;12;92,33;0,02;1107,96;1085,8
259;23/06/2024 00:00;203;36;4;Centro-Oeste;MT;Hospitalar;6;25,82;0,05;154,92;147,17
260;27/05/2024 00:00;16;34;23;Norte;PA;Distribuidor;10;144,38;0,07;1443,8;1342,73
261;25/05/2024 00:00;133;36;23;Nordeste;RN;Varejo;12;30,33;0,02;363,96;356,68
262;12/05/2024 00:00;51;19;3;Centro-Oeste;DF;Distribuidor;5;15,7;0,08;78,5;72,22
263;15/02/2024 00:00;49;53;2;Sudeste;RJ;Hospitalar;11;104,32;0,13;1147,52;998,34
264;15/01/2024 00:00;51;39;3;Centro-Oeste;DF;Distribuidor;11;110,64;0,12;1217,04;1071
265;05/03/2024 00:00;7;56;12;Norte;RR;Varejo;39;142,34;0,04;5551,26;5329,21
266;04/10/2024 00:00;141;47;6;Nordeste;CE;Hospitalar;11;99,01;0,08;1089,11;1001,98
267;01/05/2024 00:00;216;6;4;Nordeste;PI;Varejo;15;84,42;0,19;1266,3;1025,7
